"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"997" "COG0090" "Ribosomal protein L2 (RplB) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"998" "COG1434" "Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family (ElyC) (PDB:3CA8) (PUBMED:24391520)" "M" "Cell wall/membrane/envelope biogenesis"
"999" "COG1240" "vWFA (von Willebrand factor type A) domain of Mg and Co chelatases (ChlD)" "H" "Coenzyme transport and metabolism"
"1000" "COG5759" "Mg-protoporphyrin IX monomethyl ester cyclase BchE, aerobic (=Ycf59) (Ycf59) (PUBMED:21388705)" "H" "Coenzyme transport and metabolism"
"1001" "COG0564" "Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific (RluA) (PDB:2I82)" "J" "Translation, ribosomal structure and biogenesis"
"1002" "COG3009" "Intermembrane transporter PqiABC lipoprotein subunit PqiC (PqiC) (PDB:6OSX) (PUBMED:27795327)" "M" "Cell wall/membrane/envelope biogenesis"
"1003" "COG0580" "Glycerol uptake facilitator or related aquaporin (Major Intrinsic protein Family) (GlpF) (PDB:1FQY)" "G" "Carbohydrate transport and metabolism"
"1004" "COG0394" "Protein-tyrosine-phosphatase (Wzb) (PDB:4D74) (PUBMED:26641313)" "T" "Signal transduction mechanisms"
"1005" "COG1596" "Periplasmic protein Wza involved in polysaccharide export, contains SLBB domain of the beta-grasp fold (Wza) (PDB:2J58) (PUBMED:17250770)" "M" "Cell wall/membrane/envelope biogenesis"
"1006" "COG3027" "Cell division protein ZapA, inhibits GTPase activity of FtsZ (ZapA) (PDB:1T3U)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1007" "COG0854" "Pyridoxine 5'-phosphate synthase PdxJ (PdxJ) (PDB:1HO1)" "H" "Coenzyme transport and metabolism"
"1008" "COG0468" "RecA/RadA recombinase (RecA) (PDB:1B22)" "L" "Replication, recombination and repair"
"1009" "COG0644" "Dehydrogenase (flavoprotein) (FixC) (PDB:4OPU)" "C" "Energy production and conversion"
"1010" "COG2027" "D-alanyl-D-alanine carboxypeptidase (DacB) (PDB:1W5D)" "M" "Cell wall/membrane/envelope biogenesis"
"1011" "COG0716" "Flavodoxin (FldA) (PDB:1AG9)" "C" "Energy production and conversion"
"1012" "COG2366" "Acyl-homoserine lactone (AHL) acylase PvdQ (PvdQ) (PDB:4HST)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1013" "COG0172" "Seryl-tRNA synthetase (SerS) (PDB:1SER)" "J" "Translation, ribosomal structure and biogenesis"
"1014" "COG0398" "Uncharacterized membrane protein YdjX, related to fungal oxalate transporter, TVP38/TMEM64 family (TVP38) (PUBMED:20889782)" "S" "Function unknown"
"1015" "COG5684" "Allophycocyanin alpha chain (ApcA) (PDB:2V8A)" "C" "Energy production and conversion"
"1016" "COG5693" "Phycobilisome linker protein ApcE (ApcE) (PDB:3OSJ;3OHW) (PUBMED:8905231)" "C" "Energy production and conversion"
"1017" "COG4670" "Acyl CoA:acetate/3-ketoacid CoA transferase (YdiF) (PDB:5VIT)" "I" "Lipid transport and metabolism"
"1018" "COG0066" "3-isopropylmalate dehydratase small subunit (LeuD) (PDB:3Q3W)" "E" "Amino acid transport and metabolism"
"1019" "COG0065" "Homoaconitase/3-isopropylmalate dehydratase large subunit (LeuC) (PDB:4KP1)" "E" "Amino acid transport and metabolism"
"1020" "COG0473" "Isocitrate/isopropylmalate dehydrogenase (LeuB) (PDB:1GC9)" "C" "Energy production and conversion"
"1021" "COG2303" "Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)" "I" "Lipid transport and metabolism"
"1022" "COG3491" "Isopenicillin N synthase and related dioxygenases (PcbC) (PDB:1BK0)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1023" "COG1399" "23S rRNA accumulation protein YceD (essential in plants, uncharacterized in bacteria) (YceD) (PUBMED:27574185)" "J" "Translation, ribosomal structure and biogenesis"
"1024" "COG3908" "Uncharacterized conserved protein, DUF2093 domain" "S" "Function unknown"
"1025" "COG1560" "Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis) (LpxP) (PDB:5F2T) (PUBMED:11830595)" "I" "Lipid transport and metabolism"
"1026" "COG2236" "Hypoxanthine phosphoribosyltransferase (Hpt1) (PDB:2JKZ)" "H" "Coenzyme transport and metabolism"
"1027" "COG5256" "Translation elongation factor EF-1alpha (GTPase) (TEF1) (PDB:1F60)" "J" "Translation, ribosomal structure and biogenesis"
"1028" "COG3055" "N-acetylneuraminic acid mutarotase (NanM) (PDB:2UVK) (PUBMED:18063573)" "M" "Cell wall/membrane/envelope biogenesis"
"1029" "COG1117" "ABC-type phosphate transport system, ATPase component (PstB)" "P" "Inorganic ion transport and metabolism"
"1030" "COG0704" "Phosphate uptake regulator PhoU (PhoU) (PDB:1T8B)" "P" "Inorganic ion transport and metabolism"
"1031" "COG1451" "UTP pyrophosphatase, metal-dependent hydrolase family (YgjP) (PDB:4JIU) (PUBMED:27941785)" "R" "General function prediction only"
"1032" "COG4530" "Uncharacterized conserved protein (PUBMED:19495416)" "S" "Function unknown"
"1033" "COG0509" "Glycine cleavage system protein H (lipoate-binding) (GcvH) (PDB:1DXM)" "E" "Amino acid transport and metabolism"
"1034" "COG0320" "Lipoate synthase (LipA) (PDB:4U0O) (PUBMED:27941785)" "H" "Coenzyme transport and metabolism"
"1035" "COG3427" "Carbon monoxide dehydrogenase subunit CoxG (CoxG) (PDB:2NS9)" "C" "Energy production and conversion"
"1036" "COG2080" "Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family (CutS) (PDB:1FFU) (PUBMED:21175741)" "C" "Energy production and conversion"
"1037" "COG1201" "Lhr-like helicase (Lhr) (PDB:5V9X)" "L" "Replication, recombination and repair"
"1038" "COG1407" "Metallophosphoesterase superfamily enzyme" "R" "General function prediction only"
"1039" "COG4177" "ABC-type branched-chain amino acid transport system, permease component (LivM)" "E" "Amino acid transport and metabolism"
"1040" "COG0559" "Branched-chain amino acid ABC-type transport system, permease component (LivH)" "E" "Amino acid transport and metabolism"
"1041" "COG0545" "FKBP-type peptidyl-prolyl cis-trans isomerase (FkpA) (PDB:1A7X)" "O" "Posttranslational modification, protein turnover, chaperones"
"1042" "COG0462" "Phosphoribosylpyrophosphate synthetase (PrsA) (PDB:1DKR)" "F" "Nucleotide transport and metabolism"
"1043" "COG0049" "Ribosomal protein S7 (RpsG) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1044" "COG1741" "Redox-sensitive bicupin YhaK, pirin superfamily (YhaK) (PDB:1J1L) (PUBMED:18561187)" "R" "General function prediction only"
"1045" "COG2873" "O-acetylhomoserine/O-acetylserine sulfhydrylase, pyridoxal phosphate-dependent (MET17) (PDB:2CTZ)" "E" "Amino acid transport and metabolism"
"1046" "COG1994" "Zn-dependent protease (includes sporulation protein SpoIVFB) (SpoIVFB) (PDB:3B4R)" "O" "Posttranslational modification, protein turnover, chaperones"
"1047" "COG5553" "Predicted metal-dependent enzyme of the double-stranded beta helix superfamily" "R" "General function prediction only"
"1048" "COG1737" "DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains (RpiR) (PDB:2O3F)" "K" "Transcription"
"1049" "COG0852" "NADH:ubiquinone oxidoreductase 27 kD subunit (chain C) (NuoC)" "C" "Energy production and conversion"
"1050" "COG0839" "NADH:ubiquinone oxidoreductase subunit 6 (chain J) (NuoJ) (PDB:4HE8)" "C" "Energy production and conversion"
"1051" "COG0649" "NADH:ubiquinone oxidoreductase 49 kD subunit (chain D) (NuoD) (PDB:2FUG)" "C" "Energy production and conversion"
"1052" "COG4770" "Acetyl/propionyl-CoA carboxylase, alpha subunit (PccA) (PDB:3U9S)" "I" "Lipid transport and metabolism"
"1053" "COG2425" "Uncharacterized conserved protein, contains a von Willebrand factor type A (vWA) domain (ViaA)" "S" "Function unknown"
"1054" "COG2086" "Electron transfer flavoprotein, alpha and beta subunits (FixA) (PDB:5OL2)" "C" "Energy production and conversion"
"1055" "COG0296" "1,4-alpha-glucan branching enzyme (GlgB) (PDB:4LPC) (PUBMED:25871919)" "G" "Carbohydrate transport and metabolism"
"1056" "COG1340" "Uncharacterized coiled-coil protein, contains DUF342 domain" "S" "Function unknown"
"1057" "COG0474" "Magnesium-transporting ATPase (P-type) (MgtA) (PDB:1IWO)" "P" "Inorganic ion transport and metabolism"
"1058" "COG1609" "DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)" "K" "Transcription"
"1059" "COG0300" "Short-chain dehydrogenase (YqjQ)" "R" "General function prediction only"
"1060" "COG1428" "Deoxyadenosine/deoxycytidine kinase (Dck) (PDB:1J90)" "F" "Nucleotide transport and metabolism"
"1061" "COG3313" "Predicted Fe-S protein YdhL, DUF1289 family (YdhL)" "R" "General function prediction only"
"1062" "COG2062" "Phosphohistidine phosphatase SixA (SixA) (PDB:1UJB)" "T" "Signal transduction mechanisms"
"1063" "COG1953" "Cytosine/uracil/thiamine/allantoin permease (FUI1) (PDB:2JLN)" "F" "Nucleotide transport and metabolism"
"1064" "COG1283" "Na+/phosphate symporter (NptA)" "P" "Inorganic ion transport and metabolism"
"1065" "COG2057" "Acyl-CoA:acetate/3-ketoacid CoA transferase, beta subunit (AtoA) (PDB:5DBN)" "I" "Lipid transport and metabolism"
"1066" "COG1788" "Acyl CoA:acetate/3-ketoacid CoA transferase, alpha subunit (AtoD) (PDB:1K6D)" "I" "Lipid transport and metabolism"
"1067" "COG0131" "Imidazoleglycerol phosphate dehydratase HisB (HisB2) (PDB:1RHY)" "E" "Amino acid transport and metabolism"
"1068" "COG4927" "Predicted choloylglycine hydrolase" "R" "General function prediction only"
"1069" "COG0271" "DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation (BolA) (PDB:2DHM) (PUBMED:19111750;2569159)" "K" "Transcription"
"1070" "COG0749" "DNA polymerase I, 3'-5' exonuclease and polymerase domains (PolA) (PDB:1D8Y)" "L" "Replication, recombination and repair"
"1071" "COG0305" "Replicative DNA helicase (DnaB) (PDB:1B79)" "L" "Replication, recombination and repair"
"1072" "COG1502" "Phosphatidylserine/phosphatidylglycerophosphate/cardiolipin synthase (Cls) (PDB:1BYR)" "I" "Lipid transport and metabolism"
"1073" "COG2301" "Citrate lyase beta subunit (CitE) (PDB:4ROQ)" "G" "Carbohydrate transport and metabolism"
"1074" "COG4597" "ABC-type amino acid transport system, permease component (BatB)" "E" "Amino acid transport and metabolism"
"1075" "COG3510" "Cephalosporin hydroxylase (CmcI)" "V" "Defense mechanisms"
"1076" "COG5465" "Uncharacterized conserved protein YbjN, helps stabilize unstable proteins (YbjN) (PUBMED:16701556)" "R" "General function prediction only"
"1077" "COG2960" "Ubiquinone biosynthesis accessory factor UbiK (UbiK) (PUBMED:28559279)" "H" "Coenzyme transport and metabolism"
"1078" "COG0682" "Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB)" "M" "Cell wall/membrane/envelope biogenesis"
"1079" "COG1049" "Aconitase B (AcnB) (PDB:1L5J)" "C" "Energy production and conversion"
"1080" "COG0382" "4-hydroxybenzoate polyprenyltransferase (UbiA) (PDB:4OD4) (PUBMED:28830929)" "H" "Coenzyme transport and metabolism"
"1081" "COG3496" "Uncharacterized conserved protein, DUF1365 family" "S" "Function unknown"
"1082" "COG2378" "Predicted DNA-binding transcriptional regulator YobV, contains HTH and WYL domains (YobV)" "K" "Transcription"
"1083" "COG5403" "Uncharacterized conserved protein, DUF937 domain" "S" "Function unknown"
"1084" "COG0787" "Alanine racemase (Alr) (PDB:1BD0)" "M" "Cell wall/membrane/envelope biogenesis"
"1085" "COG1523" "Pullulanase/glycogen debranching enzyme (PulA) (PDB:2WSK)" "G" "Carbohydrate transport and metabolism"
"1086" "COG0554" "Glycerol kinase (GlpK) (PDB:2ZF5)" "C" "Energy production and conversion"
"1087" "COG2009" "Succinate dehydrogenase/fumarate reductase, cytochrome b subunit (SdhC) (PDB:2WU2) (PUBMED:18511537)" "C" "Energy production and conversion"
"1088" "COG0009" "tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC (TsaC) (PDB:1HRU)" "J" "Translation, ribosomal structure and biogenesis"
"1089" "COG1348" "Nitrogenase ATPase subunit NifH/coenzyme F430 biosynthesis subunit CfbC (NifH/CfbC) (PDB:1CP2) (PUBMED:28225763)" "H" "Coenzyme transport and metabolism"
"1090" "COG2267" "Lysophospholipase, alpha-beta hydrolase superfamily (PldB) (PDB:5O7G)" "I" "Lipid transport and metabolism"
"1091" "COG1770" "Protease II (PtrB) (PDB:4BP9)" "E" "Amino acid transport and metabolism"
"1092" "COG0440" "Acetolactate synthase, small subunit (IlvH) (PDB:2F1F)" "E" "Amino acid transport and metabolism"
"1093" "COG0149" "Triosephosphate isomerase (TpiA) (PDB:1HG3)" "G" "Carbohydrate transport and metabolism"
"1094" "COG2804" "Type II secretory pathway ATPase GspE/PulE or T4P pilus assembly pathway ATPase PilB (PulE) (PDB:4KSR)" "N" "Cell motility"
"1095" "COG0676" "D-hexose-6-phosphate mutarotase (YeaD) (PDB:1JOV)" "G" "Carbohydrate transport and metabolism"
"1096" "COG0180" "Tryptophanyl-tRNA synthetase (TrpS) (PDB:3N9I)" "J" "Translation, ribosomal structure and biogenesis"
"1097" "COG4990" "Predicted cysteine peptidase, C39 family (YvpB) (PDB:3ERV)" "R" "General function prediction only"
"1098" "COG0197" "Ribosomal protein L16/L10AE (RplP) (PDB:1WKI)" "J" "Translation, ribosomal structure and biogenesis"
"1099" "COG0185" "Ribosomal protein S19 (RpsS) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1100" "COG1253" "Hemolysin-related protein, contains CBS domains, UPF0053 family (TlyC) (PDB:2NQW)" "R" "General function prediction only"
"1101" "COG3668" "Plasmid stabilization system protein ParE (ParE) (PDB:3KXE)" "X" "Mobilome: prophages, transposons"
"1102" "COG1498" "Box C/D ribonucleoprotein Nop56/Prp31/SIK1 subunit (SIK1) (PDB:6ND4) (PUBMED:22496443)" "J" "Translation, ribosomal structure and biogenesis"
"1103" "COG1361" "S-layer protein MJ0795, predicted component of type IV pili-like system (MJ0795)" "R" "General function prediction only"
"1104" "COG1040" "DNA utilization protein ComFC/GntX, contains phosphoribosyltransferase domain (ComFC) (PUBMED:28618091)" "R" "General function prediction only"
"1105" "COG5748" "Light-dependent NADPH-protochlorophyllide oxidoreductase (LPOR) (PDB:6RNW) (PUBMED:31645759)" "H" "Coenzyme transport and metabolism"
"1106" "COG0155" "Sulfite reductase, beta subunit (hemoprotein) (CysI) (PDB:1AOP)" "P" "Inorganic ion transport and metabolism"
"1107" "COG1139" "L-lactate utilization protein LutB, contains a ferredoxin-type domain (LutB)" "C" "Energy production and conversion"
"1108" "COG0215" "Cysteinyl-tRNA synthetase (CysS) (PDB:1LI5)" "J" "Translation, ribosomal structure and biogenesis"
"1109" "COG0323" "DNA mismatch repair ATPase MutL (MutL) (PDB:1B62)" "L" "Replication, recombination and repair"
"1110" "COG4175" "ABC-type proline/glycine betaine transport system, ATPase component (ProV)" "E" "Amino acid transport and metabolism"
"1111" "COG0206" "Cell division GTPase FtsZ (FtsZ) (PDB:1FSZ)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1112" "COG2001" "MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity (MraZ) (PDB:1N0E)" "J" "Translation, ribosomal structure and biogenesis"
"1113" "COG0256" "Ribosomal protein L18 (RplR) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1114" "COG0097" "Ribosomal protein L6P/L9E (RplF) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1115" "COG0096" "Ribosomal protein S8 (RpsH) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1116" "COG0094" "Ribosomal protein L5 (RplE) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1117" "COG0198" "Ribosomal protein L24 (RplX) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1118" "COG0093" "Ribosomal protein L14 (RplN) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1119" "COG0186" "Ribosomal protein S17 (RpsQ) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1120" "COG0255" "Ribosomal protein L29 (RpmC) (PDB:1VS6)" "J" "Translation, ribosomal structure and biogenesis"
"1121" "COG0556" "Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O)" "L" "Replication, recombination and repair"
"1122" "COG1624" "c-di-AMP synthetase, contains DisA_N domain (DisA) (PDB:2FB5)" "T" "Signal transduction mechanisms"
"1123" "COG0019" "Diaminopimelate decarboxylase (LysA) (PDB:1D7K)" "E" "Amino acid transport and metabolism"
"1124" "COG0708" "Exonuclease III (XthA) (PDB:1AKO)" "L" "Replication, recombination and repair"
"1125" "COG1593" "TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)" "G" "Carbohydrate transport and metabolism"
"1126" "COG2365" "Protein tyrosine/serine phosphatase Oca4 (Oca4) (PDB:1XRI)" "T" "Signal transduction mechanisms"
"1127" "COG0147" "Anthranilate/para-aminobenzoate synthases component I (TrpE) (PDB:1I1Q)" "E" "Amino acid transport and metabolism"
"1128" "COG2072" "Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD (CzcO) (PDB:4USQ)" "P" "Inorganic ion transport and metabolism"
"1129" "COG4311" "Sarcosine oxidase delta subunit (SoxD) (PDB:2GAH)" "E" "Amino acid transport and metabolism"
"1130" "COG3087" "Cell division protein FtsN (FtsN) (PDB:1UTA)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1131" "COG2802" "Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily (LON/PUA) (PDB:1ZBO)" "S" "Function unknown"
"1132" "COG0575" "CDP-diglyceride synthetase (CdsA) (PDB:4Q2E)" "I" "Lipid transport and metabolism"
"1133" "COG0691" "tmRNA-binding protein (SmpB) (PDB:1J1H) (PUBMED:26251518)" "O" "Posttranslational modification, protein turnover, chaperones"
"1134" "COG3091" "Predicted Zn-dependent metalloprotease, SprT family (SprT)" "R" "General function prediction only"
"1135" "COG5677" "Cytochrome c6 (PetJ) (PDB:6TSY)" "C" "Energy production and conversion"
"1136" "COG2340" "Spore germination protein YkwD and related proteins with CAP (CSP/antigen 5/PR1) domain (YkwD) (PDB:1CFE) (PUBMED:31199835)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1137" "COG5434" "Polygalacturonase (Pgu1) (PDB:1BHE)" "G" "Carbohydrate transport and metabolism"
"1138" "COG4778" "Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL (PhnL)" "P" "Inorganic ion transport and metabolism"
"1139" "COG3239" "Fatty acid desaturase (DesA)" "I" "Lipid transport and metabolism"
"1140" "COG4399" "Uncharacterized membrane protein YheB, UPF0754 family (YheB)" "S" "Function unknown"
"1141" "COG0072" "Phenylalanyl-tRNA synthetase beta subunit (PheT) (PDB:3L4G)" "J" "Translation, ribosomal structure and biogenesis"
"1142" "COG0600" "ABC-type nitrate/sulfonate/bicarbonate transport system, permease component (TauC)" "P" "Inorganic ion transport and metabolism"
"1143" "COG1116" "ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component (TauB)" "P" "Inorganic ion transport and metabolism"
"1144" "COG0807" "GTP cyclohydrolase II (RibA) (PDB:2BZ0)" "H" "Coenzyme transport and metabolism"
"1145" "COG4447" "Uncharacterized conserved protein related to plant photosystem II stability/assembly factor (PDB:2XBG)" "R" "General function prediction only"
"1146" "COG2409" "Predicted lipid transporter YdfJ, MMPL/SSD domain, RND superfamily (YdfJ) (PUBMED:10694977;15941986)" "R" "General function prediction only"
"1147" "COG3926" "Lysozyme family protein (ZliS) (PDB:2IKB)" "R" "General function prediction only"
"1148" "COG3176" "Putative hemolysin" "R" "General function prediction only"
"1149" "COG3604" "FhlA-type transcriptional regulator, contains GAF, AAA-type ATPase, and DNA-binding Fis domains (FhlA)" "K" "Transcription"
"1150" "COG4695" "Phage portal protein BeeE (BeeE)" "X" "Mobilome: prophages, transposons"
"1151" "COG1913" "Predicted Zn-dependent protease (PDB:2X7M)" "R" "General function prediction only"
"1152" "COG1159" "GTPase Era, involved in 16S rRNA processing (Era) (PDB:1EGA)" "J" "Translation, ribosomal structure and biogenesis"
"1153" "COG1160" "Double Era-like domain GTPase Der (Der) (PDB:1MKY)" "J" "Translation, ribosomal structure and biogenesis"
"1154" "COG4762" "Uncharacterized conserved protein, UPF0548 family" "S" "Function unknown"
"1155" "COG5153" "Putative lipase ATG15 (essential for vacuolar disintegration of autophagic bodies) (CVT17)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"1156" "COG2987" "Urocanate hydratase (HutU) (PDB:1UWK)" "E" "Amino acid transport and metabolism"
"1157" "COG0412" "Dienelactone hydrolase (DLH) (PDB:4ZV9)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1158" "COG3744" "PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)" "V" "Defense mechanisms"
"1159" "COG4118" "Antitoxin component of toxin-antitoxin stability system, DNA-binding transcriptional repressor (Phd) (PDB:3DBO)" "V" "Defense mechanisms"
"1160" "COG1309" "DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)" "K" "Transcription"
"1161" "COG2020" "Protein-S-isoprenylcysteine O-methyltransferase Ste14 (STE14) (PDB:5V7P)" "O" "Posttranslational modification, protein turnover, chaperones"
"1162" "COG0104" "Adenylosuccinate synthase (PurA) (PDB:1ADE)" "F" "Nucleotide transport and metabolism"
"1163" "COG0752" "Glycyl-tRNA synthetase, alpha subunit (GlyQ) (PDB:1J5W)" "J" "Translation, ribosomal structure and biogenesis"
"1164" "COG4123" "tRNA1(Val) A37 N6-methylase TrmN6 (TrmN6)" "J" "Translation, ribosomal structure and biogenesis"
"1165" "COG3185" "4-hydroxyphenylpyruvate dioxygenase and related hemolysins (HppD)" "E" "Amino acid transport and metabolism"
"1166" "COG2105" "Predicted gamma-glutamylamine cyclotransferase YtfP, GGCT/AIG2-like family (YtfP) (PDB:1V30) (PUBMED:16754964;20110353)" "E" "Amino acid transport and metabolism"
"1167" "COG0762" "Cytochrome b6 maturation protein CCB3/Ycf19 and related maturases, YggT family (Ycf19)" "O" "Posttranslational modification, protein turnover, chaperones"
"1168" "COG1853" "FMN reductase RutF, DIM6/NTAB family (RutF) (PDB:1EJE)" "C" "Energy production and conversion"
"1169" "COG1257" "Hydroxymethylglutaryl-CoA reductase (HMG1) (PDB:1DQ8)" "I" "Lipid transport and metabolism"
"1170" "COG2770" "HAMP domain (HAMP)" "T" "Signal transduction mechanisms"
"1171" "COG1778" "3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC and related HAD superfamily phosphatases (KdsC) (PDB:3I6B)" "M" "Cell wall/membrane/envelope biogenesis"
"1172" "COG0170" "Dolichol kinase (SEC59)" "O" "Posttranslational modification, protein turnover, chaperones"
"1173" "COG0722" "3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase (AroG1) (PDB:6U8J)" "E" "Amino acid transport and metabolism"
"1174" "COG3115" "Cell division protein ZipA, interacts with FtsZ (ZipA) (PDB:1F46)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1175" "COG1843" "Flagellar hook-capping protein FlgD (FlgD) (PDB:6IEF)" "N" "Cell motility"
"1176" "COG0684" "RNA degradosome component RraA (regulator of RNase E activity) (RraA) (PDB:1J3L) (PUBMED:20471400)" "J" "Translation, ribosomal structure and biogenesis"
"1177" "COG3572" "Gamma-glutamylcysteine synthetase (Gsh2) (PDB:2GWD)" "H" "Coenzyme transport and metabolism"
"1178" "COG2059" "Chromate transport protein ChrA (ChrA)" "P" "Inorganic ion transport and metabolism"
"1179" "COG1454" "Alcohol dehydrogenase, class IV (EutG) (PDB:6AHC)" "C" "Energy production and conversion"
"1180" "COG0497" "DNA repair ATPase RecN (RecN) (PDB:4AD8)" "L" "Replication, recombination and repair"
"1181" "COG5607" "CHAD domain, binds inorganic polyphosphates (CHAD) (PDB:3E0S) (PUBMED:12456267;31133615)" "S" "Function unknown"
"1182" "COG2954" "CYTH domain, found in class IV adenylate cyclase and various triphosphatases (CYTH) (PDB:2FBL)" "R" "General function prediction only"
"1183" "COG3629" "DNA-binding transcriptional regulator DnrI/AfsR/EmbR, SARP family, contains BTAD domain (DnrI) (PDB:2FEZ) (PUBMED:12625841)" "K" "Transcription"
"1184" "COG0506" "Proline dehydrogenase (PutA) (PDB:5KF6)" "E" "Amino acid transport and metabolism"
"1185" "COG0820" "Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37 (RlmN) (PDB:3RFA)" "J" "Translation, ribosomal structure and biogenesis"
"1186" "COG1758" "DNA-directed RNA polymerase, subunit K/omega (RpoZ) (PDB:3LU0)" "K" "Transcription"
"1187" "COG0801" "7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase (folate biosynthesis) (FolK) (PDB:1CBK)" "H" "Coenzyme transport and metabolism"
"1188" "COG4977" "Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain (GlxA)" "K" "Transcription"
"1189" "COG0741" "Soluble lytic murein transglycosylase or regulatory protein s ( may contain LysM/invasin domain) (MltE) (PDB:153L)" "M" "Cell wall/membrane/envelope biogenesis"
"1190" "COG1060" "2-iminoacetate synthase ThiH/Menaquinone biosynthesis enzymes MqnC and MqnE (ThiH) (PDB:4WCX) (PUBMED:18801996)" "H" "Coenzyme transport and metabolism"
"1191" "COG0377" "NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase (NuoB) (PDB:2FUG) (PUBMED:25941396)" "C" "Energy production and conversion"
"1192" "COG0378" "Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase (HypB) (PDB:2HF8) (PUBMED:24338018;23899293)" "O" "Posttranslational modification, protein turnover, chaperones"
"1193" "COG1163" "Ribosome-interacting GTPase RBG1 (Rbg1) (PDB:4A9A)" "J" "Translation, ribosomal structure and biogenesis"
"1194" "COG0123" "Acetoin utilization deacetylase AcuC or a related deacetylase (AcuC) (PDB:1C3P)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1195" "COG2272" "Carboxylesterase type B (PnbA) (PDB:1K4Y)" "I" "Lipid transport and metabolism"
"1196" "COG0846" "NAD-dependent protein deacetylase, SIR2 family (SIR2) (PDB:1M2N)" "O" "Posttranslational modification, protein turnover, chaperones"
"1197" "COG3824" "Predicted Zn-dependent protease, minimal metalloprotease (MMP)-like domain (PDB:3E11)" "O" "Posttranslational modification, protein turnover, chaperones"
"1198" "COG3958" "Transketolase, C-terminal subunit (TktA2)" "G" "Carbohydrate transport and metabolism"
"1199" "COG2264" "Ribosomal protein L11 methylase PrmA (PrmA) (PDB:3GRZ)" "J" "Translation, ribosomal structure and biogenesis"
"1200" "COG0859" "ADP-heptose:LPS heptosyltransferase (RfaF) (PDB:1PSW)" "M" "Cell wall/membrane/envelope biogenesis"
"1201" "COG0148" "Enolase (Eno) (PDB:1E9I)" "G" "Carbohydrate transport and metabolism"
"1202" "COG3127" "Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component (YbbP)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1203" "COG0624" "Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)" "E" "Amino acid transport and metabolism"
"1204" "COG5362" "Phage terminase large subunit" "X" "Mobilome: prophages, transposons"
